Dt_name Cre_transcriptID	Cre_transcript_E_value	Cre_geneID	Cre_proteinID	Cre_protein_definition
Locus_3157_Transcript_1/1_Confidence_1.000_Length_4290	CHLREDRAFT188925	3e-114	estExt_fgenesh2_pg.C_120219	Cre06.g299800.t1.1	AMP-dependent synthetase and ligase family protein
Locus_3160_Transcript_1/2_Confidence_0.667_Length_2105	CHLREDRAFT24387	8e-173	estExt_fgenesh1_pm.C_420002	Cre01.g070250.t1.1	Clathrin adaptor complexes medium subunit family protein
Locus_3161_Transcript_1/1_Confidence_1.000_Length_1740	CHLREDRAFT195455	0.0	SAN_chlre3.24.196.2.51	Cre02.g146600.t1.1	Clathrin adaptor complexes medium subunit family protein
Locus_3163_Transcript_2/2_Confidence_0.750_Length_2947	CHLREDRAFT330828	3e-91	pg.chromosome_12_#_982	Cre12.g555750.t1.1	NA
Locus_3168_Transcript_1/1_Confidence_1.000_Length_2702	CHLREDRAFT424248	4e-89	pasa_Sanger_mRNA6788	Cre13.g590600.t1.2	NA
Locus_3169_Transcript_4/4_Confidence_0.700_Length_2803	CHLREDRAFT98480	7e-33	e_gwH.6.39.1	Cre16.g649050.t1.2	NA
Locus_3171_Transcript_1/1_Confidence_1.000_Length_1213	CHLREDRAFT315676	2e-46	kg.chromosome_12_#_2775_#_857337:1	Cre12.g555850.t1.1	PPPDE putative thiol peptidase family protein
Locus_3175_Transcript_1/1_Confidence_1.000_Length_1323	CHLREDRAFT128308	1e-114	estExt_gwp_1H.C_120141	Cre06.g299650.t1.1	CLP protease proteolytic subunit 6
Locus_3177_Transcript_1/1_Confidence_1.000_Length_611	CHLREDRAFT329232	9e-15	pg.chromosome_10_#_276	Cre10.g437450.t1.1	NA
Locus_3180_Transcript_4/5_Confidence_0.542_Length_2910	CHLREDRAFT381920	2e-41	estExt_fgenesh1_pm.C_190015	Cre19.g753150.t1.1	NA
Locus_3184_Transcript_2/2_Confidence_0.833_Length_1529	CHLREDRAFT190610	2e-76	estExt_fgenesh2_pg.C_190283	Cre03.g200050.t1.1	Calcium-binding EF-hand family protein
Locus_3185_Transcript_1/3_Confidence_0.500_Length_1571			Cre09.g407100.t1.2	Ribosomal protein S5 family protein
Locus_3186_Transcript_1/2_Confidence_1.000_Length_2189	CHLREDRAFT158129	1e-137	acegs_kg.scaffold_24000043	Cre02.g145800.t1.1	Lactate/malate dehydrogenase family protein
Locus_3187_Transcript_2/3_Confidence_0.571_Length_1971	CHLREDRAFT196642	1e-37	SKA_estExt_fgenesh2_pg.C_510070	Cre23.g766350.t1.1	ZIP metal ion transporter family
Locus_3188_Transcript_1/1_Confidence_1.000_Length_1301	CHLREDRAFT122195	3e-106	e_gwW.62.8.1	Cre11.g474450.t1.1	UDP-Glycosyltransferase superfamily protein
Locus_3189_Transcript_1/1_Confidence_1.000_Length_2022	CHLREDRAFT346026	8e-41	estExt_fgenesh1_pg.C_chromosome_120164	Cre12.g495750.t1.1	NA
Locus_3190_Transcript_1/1_Confidence_1.000_Length_1493	CHLREDRAFT380258	0.0	estExt_fgenesh1_pm.C_chromosome_120462	Cre12.g522350.t1.1	Nucleotidylyl transferase superfamily protein
Locus_3194_Transcript_1/2_Confidence_0.667_Length_3042	CHLREDRAFT206196	5e-82	OVA_chlre3.13.130.1.1	Cre17.g697650.t1.2	Prolyl oligopeptidase family protein
Locus_3197_Transcript_1/1_Confidence_1.000_Length_1038	CHLREDRAFT293799	5e-91	au.g11595_t1	Cre04.g216100.t1.2	lactoylglutathione lyase family protein / glyoxalase I family protein
Locus_3198_Transcript_1/1_Confidence_1.000_Length_1093	CHLREDRAFT345725	1e-22	estExt_fgenesh1_pg.C_chromosome_100532	Cre10.g457650.t1.1	secE/sec61-gamma protein transport protein
Locus_3201_Transcript_1/2_Confidence_0.667_Length_1646	CHLREDRAFT195969	4e-97	SAN_169834	Cre13.g588550.t1.1	syntaxin of plants 131
Locus_3202_Transcript_5/5_Confidence_0.667_Length_1578	CHLREDRAFT170453	2e-165	fgenesh2_pg.C_scaffold_13000204	Cre17.g701500.t1.1	DNAJ homologue 2
Locus_3204_Transcript_1/6_Confidence_0.500_Length_1833	CHLREDRAFT206281	1e-61	FER_acegs_kg.scaffold_12000023	Cre06.g309050.t1.1	NOT2 / NOT3 / NOT5 family
Locus_3206_Transcript_2/2_Confidence_0.667_Length_1352	CHLREDRAFT415443	6e-15	pasa_Sanger_mRNA18963	Cre04.g216200.t1.1	NA
Locus_3208_Transcript_1/1_Confidence_1.000_Length_1435	CHLREDRAFT413430	2e-53	pasa_Sanger_mRNA11012	Cre13.g566250.t1.1	NA
Locus_3209_Transcript_1/1_Confidence_1.000_Length_2071	CHLREDRAFT133308	8e-65	estExt_gwp_1H.C_930021	Cre07.g357800.t1.1	cytochrome c biogenesis protein family
Locus_3210_Transcript_1/2_Confidence_0.875_Length_3073	CHLREDRAFT379060	0.0	estExt_fgenesh1_pm.C_chromosome_80066	Cre08.g368900.t1.1	Alanyl-tRNA synthetase, class IIc
Locus_3217_Transcript_3/7_Confidence_0.077_Length_897	CHLREDRAFT195838	6e-29	FER_fgenesh1_est.C_scaffold_27000019	Cre03.g149350.t1.2	RWP-RK domain-containing protein
Locus_3218_Transcript_6/7_Confidence_0.154_Length_1208	CHLREDRAFT195658	2e-65	SAN_estExt_fgenesh1_pg.C_170129	Cre14.g628050.t1.1	Vps51/Vps67 family (components of vesicular transport) protein
Locus_3219_Transcript_2/2_Confidence_0.947_Length_4412	CHLREDRAFT146253	0.0	Chlre2_kg.scaffold_1000077	Cre01.g014800.t1.2	DNA mismatch repair protein MutS, type 2
Locus_3220_Transcript_2/2_Confidence_0.944_Length_4401	CHLREDRAFT149313	8e-97	Chlre2_kg.scaffold_26000048	Cre06.g280475.t1.1	NA
Locus_3223_Transcript_2/2_Confidence_0.667_Length_1774	CHLREDRAFT145357	1e-55	Chlre2_kg.scaffold_13000270	Cre17.g696600.t1.2	succinate dehydrogenase 1-1
Locus_3224_Transcript_1/1_Confidence_1.000_Length_2587	CHLREDRAFT196691	8e-109	DNE_estExt_fgenesh2_pg.C_160079	Cre07.g340850.t1.1	cytochrome P450, family 711, subfamily A, polypeptide 1
Locus_3226_Transcript_2/3_Confidence_0.158_Length_989	CHLREDRAFT147880	2e-12	Chlre2_kg.scaffold_20000022	Cre12.g541150.t1.2	NA
Locus_3230_Transcript_1/1_Confidence_1.000_Length_639	CHLREDRAFT147556	5e-30	Chlre2_kg.scaffold_19000230	Cre03.g202350.t1.2	NA
Locus_3234_Transcript_1/1_Confidence_1.000_Length_2488	CHLREDRAFT123204	1e-154	e_gwW.83.15.1	Cre12.g514450.t1.1	proline-rich spliceosome-associated (PSP) family protein
Locus_3242_Transcript_1/1_Confidence_1.000_Length_904	CHLREDRAFT121413	4e-123	e_gwW.45.33.1	Cre16.g689600.t1.1	NA
Locus_3243_Transcript_4/4_Confidence_0.583_Length_1013	CHLREDRAFT126810	2e-42	estExt_gwp_1H.C_30224	Cre06.g268600.t1.1	glycine-rich protein 2B
Locus_3244_Transcript_3/5_Confidence_0.556_Length_1844	CHLREDRAFT155869	1e-149	acegs_kg.scaffold_6000030	Cre05.g247800.t1.1	Granulin repeat cysteine protease family protein
Locus_3254_Transcript_1/1_Confidence_1.000_Length_1228	CHLREDRAFT11164	3e-57	fgenesh1_pg.C_scaffold_13000213	Cre17.g702150.t1.1	Thioredoxin superfamily protein
Locus_3255_Transcript_3/3_Confidence_0.600_Length_2469	CHLREDRAFT205971	4e-93	OVA_e_gwW.44.59.1	Cre13.g607450.t1.2	Dihydroxyacetone kinase
Locus_3260_Transcript_5/5_Confidence_0.789_Length_1827	CHLREDRAFT395025	9e-98	pasa_Sanger_mRNA12269	Cre14.g621300.t1.2	LUC7 N_terminus domain-containing protein
Locus_3266_Transcript_26/39_Confidence_1.000_Length_224	CHLREDRAFT171165	5e-19	fgenesh2_pg.C_scaffold_16000041	Cre07.g340450.t1.2	NA
Locus_3266_Transcript_31/39_Confidence_0.627_Length_16006	CHLREDRAFT10029	0.0	fgenesh1_pg.C_scaffold_10000201	Cre10.g436800.t1.2	NA
Locus_3268_Transcript_4/7_Confidence_0.412_Length_1327	CHLREDRAFT419041	1e-141	pasa_Sanger_mRNA23012	Cre03.g149250.t1.1	Phosphoenolpyruvate carboxylase family protein
Locus_3272_Transcript_2/2_Confidence_0.750_Length_1991	CHLREDRAFT195469	2e-46	SAN_estExt_fgenesh2_pg.C_410015	Cre18.g744100.t1.1	secretory 1A
Locus_3274_Transcript_1/1_Confidence_1.000_Length_1504	CHLREDRAFT377107	3e-71	estExt_fgenesh1_pm.C_chromosome_20359	Cre02.g103500.t1.1	sphingoid base hydroxylase 2
Locus_3278_Transcript_1/2_Confidence_0.750_Length_2170	CHLREDRAFT196775	4e-138	SKA_Chlre2_kg.scaffold_83000021	Cre12.g513950.t1.1	non-intrinsic ABC protein 6
Locus_3282_Transcript_1/1_Confidence_1.000_Length_1412	CHLREDRAFT106740	3e-87	e_gwH.46.54.1	Cre16.g691000.t1.1	elongation factor P (EF-P) family protein
Locus_3283_Transcript_1/1_Confidence_1.000_Length_857	CHLREDRAFT145043	9e-49	Chlre2_kg.scaffold_12000237	Cre06.g298100.t1.1	Translation initiation factor SUI1 family protein
Locus_3284_Transcript_1/1_Confidence_1.000_Length_2756	CHLREDRAFT56638	0.0	estExt_GenewiseH_1.C_180031	Cre12.g537100.t1.1	valyl-tRNA synthetase / valine--tRNA ligase (VALRS)
Locus_3285_Transcript_1/1_Confidence_1.000_Length_2166	CHLREDRAFT191043	0.0	estExt_fgenesh2_pg.C_220170	Cre09.g396300.t1.1	Flavin containing amine oxidoreductase family
Locus_3287_Transcript_1/1_Confidence_1.000_Length_701	CHLREDRAFT122771	6e-45	e_gwW.72.16.1	Cre01.g005850.t1.1	NA
Locus_3290_Transcript_1/1_Confidence_1.000_Length_1289	CHLREDRAFT127786	7e-118	estExt_gwp_1H.C_90230	Cre03.g165700.t1.2	pyruvate decarboxylase-2
Locus_3293_Transcript_1/1_Confidence_1.000_Length_788	CHLREDRAFT392444	6e-57	pasa_Sanger_mRNA30658	Cre07.g347250.t1.2	FKBP12 interacting protein 37
Locus_3295_Transcript_1/2_Confidence_0.750_Length_1459	CHLREDRAFT146964	1e-58	Chlre2_kg.scaffold_1000788	Cre01.g053900.t1.2	peptide-N-glycanase 1
Locus_3298_Transcript_1/1_Confidence_1.000_Length_1507	CHLREDRAFT154732	8e-19	Chlre2_kg.scaffold_93000007	Cre07.g356850.t1.1	Adenine nucleotide alpha hydrolases-like superfamily protein
Locus_3299_Transcript_1/1_Confidence_1.000_Length_653	CHLREDRAFT347049	1e-14	estExt_fgenesh1_pg.C_chromosome_140161	
Locus_3300_Transcript_1/1_Confidence_1.000_Length_1161	CHLREDRAFT417335	5e-47	pasa_Sanger_mRNA21428	Cre02.g142250.t1.1	Class II aaRS and biotin synthetases superfamily protein
Locus_3303_Transcript_3/4_Confidence_0.700_Length_2926	CHLREDRAFT128451	0.0	estExt_gwp_1H.C_130203	Cre17.g705000.t1.1	calcium-dependent protein kinase 17
Locus_3304_Transcript_6/7_Confidence_0.625_Length_2414	CHLREDRAFT402187	9e-180	pasa_Sanger_mRNA26657	Cre06.g279400.t1.1	serine carboxypeptidase-like 48
Locus_3306_Transcript_1/2_Confidence_0.667_Length_2323	CHLREDRAFT140252	0.0	estExt_gwp_1W.C_720013	Cre01.g004300.t1.1	glutamine-dependent asparagine synthase 1
Locus_3313_Transcript_1/1_Confidence_1.000_Length_1078	CHLREDRAFT81259	7e-104	estExt_GenewiseW_1.C_310132	Cre12.g517400.t1.1	Ras-related small GTP-binding family protein
Locus_3315_Transcript_4/4_Confidence_0.650_Length_2168	CHLREDRAFT126179	3e-47	estExt_gwp_1H.C_80232	Cre10.g424300.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_3317_Transcript_1/1_Confidence_1.000_Length_1994	CHLREDRAFT378375	0.0	estExt_fgenesh1_pm.C_chromosome_60255	Cre06.g272900.t1.1	NA
Locus_3318_Transcript_1/1_Confidence_1.000_Length_2463			Cre10.g433900.t1.2	ubiquitin-protein ligase 1
Locus_3319_Transcript_1/5_Confidence_0.500_Length_682	CHLREDRAFT142422	4e-66	Chlre2_kg.scaffold_3000395	Cre06.g254450.t1.1	F-box protein 7
Locus_3321_Transcript_4/5_Confidence_0.533_Length_2246	CHLREDRAFT95661	1e-23	fgenesh1_est.C_scaffold_33000010	Cre11.g478800.t1.1	NA
Locus_3328_Transcript_2/2_Confidence_0.500_Length_1322	CHLREDRAFT294106	7e-59	au.g11882_t1	Cre41.g787000.t1.1	NAD(P)-linked oxidoreductase superfamily protein
Locus_3329_Transcript_1/1_Confidence_1.000_Length_1202	CHLREDRAFT190294	7e-109	estExt_fgenesh2_pg.C_180068	Cre12.g535900.t1.1	ADP-ribosylation factor 3
Locus_3330_Transcript_1/1_Confidence_1.000_Length_802	CHLREDRAFT135470	2e-104	estExt_gwp_1W.C_110100	Cre12.g503400.t1.1	PRP38 family protein
Locus_3334_Transcript_1/1_Confidence_1.000_Length_947	CHLREDRAFT140850	2e-18	Chlre2_kg.scaffold_8000021	Cre10.g433950.t1.2	NA
Locus_3335_Transcript_1/1_Confidence_1.000_Length_1334			Cre07.g351700.t1.1	NA
Locus_3337_Transcript_1/1_Confidence_1.000_Length_731	CHLREDRAFT187429	3e-66	estExt_fgenesh2_pg.C_60150	Cre07.g312750.t1.1	Nucleic acid-binding, OB-fold-like protein
Locus_3340_Transcript_1/1_Confidence_1.000_Length_2788	CHLREDRAFT180627	5e-19	fgenesh2_pg.C_scaffold_92000020	Cre33.g782950.t1.2	plastid transcriptionally active 5
Locus_3341_Transcript_5/8_Confidence_0.366_Length_2887	CHLREDRAFT195513	4e-154	SAN_chlre3.8.283.1.1	Cre10.g424450.t1.1	translocase of the outer mitochondrial membrane 40
Locus_3343_Transcript_1/1_Confidence_1.000_Length_2607	CHLREDRAFT206669	5e-116	OVA_Chlre2_kg.scaffold_14000083	Cre03.g189000.t1.2	homolog of RAD54
Locus_3346_Transcript_1/1_Confidence_1.000_Length_1071	CHLREDRAFT177997	4e-57	fgenesh2_pg.C_scaffold_46000001	Cre16.g690600.t1.1	Insulinase (Peptidase family M16) protein
Locus_3350_Transcript_1/1_Confidence_1.000_Length_1175	CHLREDRAFT93502	2e-17	fgenesh1_est.C_scaffold_5000038	Cre02.g110250.t1.1	Chaperone DnaJ-domain superfamily protein
Locus_3363_Transcript_5/5_Confidence_0.562_Length_2144	CHLREDRAFT144935	3e-104	Chlre2_kg.scaffold_12000129	Cre06.g304500.t1.1	chloroplast signal recognition particle component (CAO)
Locus_3364_Transcript_3/10_Confidence_0.429_Length_1165	CHLREDRAFT176806	5e-32	fgenesh2_pg.C_scaffold_38000073	Cre13.g598400.t1.1	NA
Locus_3364_Transcript_5/10_Confidence_0.061_Length_2278	CHLREDRAFT147086	5e-103	Chlre2_kg.scaffold_18000011	Cre12.g538700.t1.1	LETM1-like protein
Locus_3365_Transcript_1/1_Confidence_1.000_Length_988	CHLREDRAFT173276	9e-11	fgenesh2_pg.C_scaffold_20000125	Cre12.g546450.t1.2	NA
Locus_3367_Transcript_9/10_Confidence_0.312_Length_3113	CHLREDRAFT205991	1e-99	OVA_Chlre2_kg.scaffold_10000257	Cre07.g329500.t1.1	SITE-1 protease
Locus_3368_Transcript_1/3_Confidence_0.667_Length_1335	CHLREDRAFT194387	2e-146	estExt_fgenesh2_pg.C_640063	Cre08.g373250.t1.1	proteasome subunit PAB1
Locus_3369_Transcript_1/1_Confidence_1.000_Length_2175	CHLREDRAFT295748	0.0	au.g13429_t1	Cre06.g301650.t1.1	NA
Locus_3371_Transcript_1/2_Confidence_0.889_Length_1830	CHLREDRAFT406885	5e-51	pasa_Sanger_mRNA1657	Cre01.g001100.t1.1	NA
Locus_3372_Transcript_1/1_Confidence_1.000_Length_2311	CHLREDRAFT120269	8e-110	e_gwW.35.69.1	Cre02.g137800.t1.1	phosphatidyl inositol monophosphate 5 kinase
Locus_3373_Transcript_3/4_Confidence_0.625_Length_744	CHLREDRAFT324190	6e-08	pg.chromosome_1_#_979	Cre01.g071900.t1.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Locus_3375_Transcript_1/1_Confidence_1.000_Length_994	CHLREDRAFT182226	3e-70	estExt_fgenesh2_kg.C_50138	Cre02.g100200.t1.1	NA
Locus_3376_Transcript_1/1_Confidence_1.000_Length_1931	CHLREDRAFT415794	6e-93	pasa_Sanger_mRNA19636	Cre02.g139500.t1.1	Protein of unknown function (DUF1295)
Locus_3378_Transcript_1/4_Confidence_0.600_Length_1801	CHLREDRAFT95634	2e-26	fgenesh1_est.C_scaffold_35000003	Cre02.g138150.t1.2	RING/FYVE/PHD zinc finger superfamily protein
Locus_3379_Transcript_3/4_Confidence_0.375_Length_1082	CHLREDRAFT118550	9e-97	e_gwW.23.55.1	Cre02.g127500.t1.2	U2 snRNP auxilliary factor, large subunit, splicing factor
Locus_3381_Transcript_1/1_Confidence_1.000_Length_1106	CHLREDRAFT111920	5e-28	e_gwW.5.131.1	Cre02.g110950.t1.1	Transducin family protein / WD-40 repeat family protein
Locus_3389_Transcript_1/1_Confidence_1.000_Length_1537	CHLREDRAFT380186	9e-49	estExt_fgenesh1_pm.C_chromosome_120374	Cre12.g514300.t1.1	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
Locus_3391_Transcript_6/6_Confidence_0.574_Length_1610	CHLREDRAFT183777	8e-21	estExt_fgenesh2_kg.C_10285	Cre14.g620850.t1.1	BES1-interacting Myc-like protein 2
Locus_3399_Transcript_1/1_Confidence_1.000_Length_1471	CHLREDRAFT381944	2e-100	estExt_fgenesh1_pm.C_190044	Cre19.g756300.t1.1	Sec14p-like phosphatidylinositol transfer family protein
Locus_3403_Transcript_3/4_Confidence_0.773_Length_7781	CHLREDRAFT172392	0.0	fgenesh2_pg.C_scaffold_18000058	Cre12.g536600.t1.2	NA
Locus_3405_Transcript_5/5_Confidence_0.810_Length_3369	CHLREDRAFT196941	0.0	LOH_fgenesh2_pg.C_scaffold_7000012	Cre02.g073650.t1.1	MOS4-associated  complex 3B
Locus_3408_Transcript_3/3_Confidence_0.667_Length_1589	CHLREDRAFT344680	2e-24	estExt_fgenesh1_pg.C_chromosome_70169	Cre07.g325100.t1.1	NA
Locus_3409_Transcript_3/5_Confidence_0.444_Length_1039			Cre03.g184100.t1.2	NA
Locus_3414_Transcript_2/4_Confidence_0.650_Length_2047	CHLREDRAFT114905	3e-60	e_gwW.11.105.1	Cre12.g489900.t1.2	NA
Locus_3415_Transcript_2/4_Confidence_0.667_Length_3303	CHLREDRAFT205500	5e-116	SKA_fgenesh2_pg.C_scaffold_10000012	Cre10.g445050.t1.1	NA
Locus_3416_Transcript_1/1_Confidence_1.000_Length_2121	CHLREDRAFT345054	1e-139	estExt_fgenesh1_pg.C_chromosome_80249	Cre08.g376100.t1.1	Inositol monophosphatase family protein
Locus_3420_Transcript_1/1_Confidence_1.000_Length_1613	CHLREDRAFT112590	2e-42	e_gwW.3.612.1	Cre06.g274500.t1.1	polyadenylate-binding protein 1
Locus_3427_Transcript_1/2_Confidence_0.733_Length_2055	CHLREDRAFT417716	8e-39	pasa_Sanger_mRNA21982	Cre03.g165900.t1.2	Phosphoglycerate mutase family protein
Locus_3430_Transcript_4/6_Confidence_0.074_Length_1547	CHLREDRAFT205984	9e-117	OVA_estExt_fgenesh2_pg.C_540058	Cre17.g713850.t1.2	Trimeric LpxA-like enzymes superfamily protein
Locus_3432_Transcript_1/1_Confidence_1.000_Length_662	CHLREDRAFT160049	3e-16	acegs_kg.scaffold_72000002	Cre01.g006100.t1.1	NA
Locus_3441_Transcript_1/2_Confidence_0.800_Length_2985	CHLREDRAFT205763	0.0	SKA_Chlre2_kg.scaffold_1000106	Cre01.g016504.t1.1	dihydrolipoyl dehydrogenases
Locus_3442_Transcript_1/4_Confidence_0.444_Length_1786	CHLREDRAFT126081	3e-123	estExt_gwp_1H.C_80089	Cre10.g418950.t1.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_3445_Transcript_1/1_Confidence_1.000_Length_938	CHLREDRAFT149042	1e-15	Chlre2_kg.scaffold_23000192	Cre02.g136650.t1.2	RING/U-box superfamily protein
Locus_3446_Transcript_1/1_Confidence_1.000_Length_1173	CHLREDRAFT148035	2e-110	Chlre2_kg.scaffold_20000177	Cre12.g549700.t1.1	RNA-binding KH domain-containing protein
Locus_3448_Transcript_1/1_Confidence_1.000_Length_1166	CHLREDRAFT107215	5e-33	e_gwH.53.26.1	Cre01.g002200.t1.2	RNA polymerase Rpb6
Locus_3452_Transcript_5/5_Confidence_0.733_Length_2476	CHLREDRAFT182457	0.0	estExt_fgenesh2_kg.C_60051	Cre07.g314150.t1.1	zeta-carotene desaturase
Locus_3453_Transcript_1/1_Confidence_1.000_Length_1086	CHLREDRAFT185812	1e-15	estExt_fgenesh2_kg.C_780008	Cre12.g499000.t1.1	NA
Locus_3456_Transcript_2/2_Confidence_0.750_Length_2740	CHLREDRAFT195476	4e-136	SAN_156111	Cre11.g472850.t1.1	vacuolar sorting receptor 4
Locus_3457_Transcript_1/2_Confidence_0.667_Length_2084	CHLREDRAFT130434	0.0	estExt_gwp_1H.C_280051	Cre16.g675650.t1.1	aldehyde dehydrogenase  6B2
Locus_3458_Transcript_3/3_Confidence_0.667_Length_2054	CHLREDRAFT188996	2e-83	estExt_fgenesh2_pg.C_130031	Cre17.g710800.t1.1	NFU domain protein 1
Locus_3459_Transcript_2/2_Confidence_0.800_Length_930	CHLREDRAFT320733	7e-52	kg.chromosome_17_#_1139_#_chlre3.68.11.2.11	Cre17.g730250.t1.1	Protein of unknown function (DUF1000)
Locus_3461_Transcript_1/1_Confidence_1.000_Length_808	CHLREDRAFT196289	2e-82	BTM_acegs_kg.scaffold_53000011	Cre01.g002300.t1.1	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Locus_3463_Transcript_1/2_Confidence_0.667_Length_1837	CHLREDRAFT379010	4e-61	estExt_fgenesh1_pm.C_chromosome_70418	Cre07.g357157.t1.1	NA
Locus_3464_Transcript_3/3_Confidence_0.600_Length_1910	CHLREDRAFT114692	0.0	e_gwW.11.68.1	Cre12.g511850.t1.1	shaggy-like kinase 13
Locus_3467_Transcript_1/1_Confidence_1.000_Length_244	CHLREDRAFT417905	2e-07	pasa_Sanger_mRNA22844	Cre03.g205000.t1.2	NA
Locus_3469_Transcript_7/9_Confidence_0.379_Length_505	CHLREDRAFT124894	1e-54	e_gwW.843.3.1	Cre13.g570050.t1.1	Histone superfamily protein
Locus_3471_Transcript_1/1_Confidence_1.000_Length_892			Cre08.g383650.t1.1	NA
Locus_3479_Transcript_3/3_Confidence_0.857_Length_3153	CHLREDRAFT329857	0.0	pg.chromosome_12_#_11	Cre12.g484150.t1.2	SIT4 phosphatase-associated family protein
Locus_3480_Transcript_1/1_Confidence_1.000_Length_939	CHLREDRAFT184951	2e-36	estExt_fgenesh2_kg.C_310078	Cre12.g518300.t1.1	NA
Locus_3481_Transcript_1/1_Confidence_1.000_Length_1302	CHLREDRAFT148390	2e-44	Chlre2_kg.scaffold_21000003	Cre08.g386050.t1.1	Ubiquitin-associated (UBA) protein
Locus_3482_Transcript_1/2_Confidence_0.750_Length_2556	CHLREDRAFT111844	1e-17	e_gwW.7.386.1	Cre17.g696750.t1.2	Homeodomain-like superfamily protein
Locus_3486_Transcript_1/1_Confidence_1.000_Length_2630	CHLREDRAFT116979	8e-91	e_gwW.18.36.1	Cre65.g793400.t1.1	AICARFT/IMPCHase bienzyme family protein
Locus_3487_Transcript_1/1_Confidence_1.000_Length_1111	CHLREDRAFT143710	1e-107	Chlre2_kg.scaffold_2000438	Cre13.g586350.t1.2	DNA photolyases;DNA photolyases
Locus_3488_Transcript_1/2_Confidence_0.750_Length_2862	CHLREDRAFT126820	0.0	estExt_gwp_1H.C_30240	Cre06.g251400.t1.1	NADP-malic enzyme 4
Locus_3490_Transcript_1/1_Confidence_1.000_Length_1377	CHLREDRAFT78189	5e-112	estExt_GenewiseW_1.C_110380	Cre12.g487850.t1.1	ADP-ribosylation factor B1B
Locus_3491_Transcript_1/1_Confidence_1.000_Length_2282	CHLREDRAFT292376	2e-83	au.g10273_t1	Cre03.g155850.t1.2	NA
Locus_3493_Transcript_4/4_Confidence_0.600_Length_527	CHLREDRAFT396107	7e-64	pasa_Sanger_mRNA14427	Cre16.g674250.t1.1	RNA-binding (RRM/RBD/RNP motifs) family protein
Locus_3494_Transcript_2/2_Confidence_0.308_Length_467	CHLREDRAFT168461	1e-19	fgenesh2_pg.C_scaffold_2000107	Cre13.g567450.t1.1	histone H1-3
Locus_3498_Transcript_1/3_Confidence_0.556_Length_1169			Cre18.g751350.t1.2	NA
Locus_3499_Transcript_1/1_Confidence_1.000_Length_2332	CHLREDRAFT406350	3e-123	pasa_Sanger_mRNA1162	Cre01.g051100.t1.1	chromatin protein family
Locus_3500_Transcript_1/1_Confidence_1.000_Length_1050	CHLREDRAFT192558	2e-91	estExt_fgenesh2_pg.C_310018	Cre12.g529100.t1.1	ATPase, F0/V0 complex, subunit C protein
Locus_3501_Transcript_3/3_Confidence_0.846_Length_1405	CHLREDRAFT192899	2e-18	estExt_fgenesh2_pg.C_330097	Cre11.g480950.t1.1	high mobility group B3
Locus_3503_Transcript_1/1_Confidence_1.000_Length_955	CHLREDRAFT382024	9e-69	estExt_fgenesh1_pm.C_240012	Cre24.g769500.t1.2	PHF5-like protein
Locus_3504_Transcript_1/1_Confidence_1.000_Length_4217	CHLREDRAFT184156	0.0	estExt_fgenesh2_kg.C_220035	Cre09.g393150.t1.1	NA
Locus_3505_Transcript_1/1_Confidence_1.000_Length_940	CHLREDRAFT289504	1e-07	au.g7602_t1	Cre16.g680500.t1.2	centrin2
Locus_3510_Transcript_1/1_Confidence_1.000_Length_853	CHLREDRAFT336173	1e-36	pm.chromosome_3_#_434	Cre03.g189750.t1.1	translocase inner membrane subunit 8
Locus_3514_Transcript_3/3_Confidence_0.600_Length_886	CHLREDRAFT380412	7e-103	estExt_fgenesh1_pm.C_chromosome_120669	Cre12.g542450.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_3515_Transcript_2/3_Confidence_0.500_Length_393	CHLREDRAFT323085	1e-07	kg.55_#_11_#_KCC002409A_C01	
Locus_3516_Transcript_1/1_Confidence_1.000_Length_2614	CHLREDRAFT378850	0.0	estExt_fgenesh1_pm.C_chromosome_70184	Cre07.g335400.t1.1	general control non-repressible 5
Locus_3518_Transcript_2/3_Confidence_0.286_Length_1347			Cre12.g498350.t1.2	NA
Locus_3520_Transcript_1/1_Confidence_1.000_Length_1138	CHLREDRAFT134916	2e-33	estExt_gwp_1W.C_20155	Cre13.g566050.t1.1	probable small nuclear ribonucleoprotein G
Locus_3522_Transcript_1/1_Confidence_1.000_Length_1392	CHLREDRAFT191336	2e-124	estExt_fgenesh2_pg.C_240218	Cre02.g124350.t1.1	permease, cytosine/purines, uracil, thiamine, allantoin family protein
Locus_3523_Transcript_2/2_Confidence_0.667_Length_902	CHLREDRAFT377204	8e-31	estExt_fgenesh1_pm.C_chromosome_20475	Cre02.g114750.t1.1	calmodulin-domain protein kinase 9
Locus_3524_Transcript_1/4_Confidence_0.625_Length_1114	CHLREDRAFT392377	6e-34	pasa_Sanger_mRNA30089	Cre07.g320450.t1.1	Chlorophyll A-B binding family protein
Locus_3534_Transcript_3/3_Confidence_0.778_Length_1332	CHLREDRAFT134594	4e-166	estExt_gwp_1W.C_60238	Cre05.g242000.t1.1	ALBINA 1
